id,tweet_user_id,tweet_user_email,content,user_id,user_email,like,bookmark
41,8,sample8@example.com,Ankerのモバイルバッテリー便利すぎる。iPhoneSE2なら余裕でフル充電できる。とはいえSE2もそろそろ変えたいところ、、、,1,sample1@example.com,1,1
10,1,sample1@example.com,MacBookの容量、128GBHDDでなんとかやってきたけど、流石に限界を感じてる。,1,sample1@example.com,,
34,7,sample7@example.com,本はiPadで読んでたけど、Kindle paperwhiteめちゃくちゃ軽いな、、、ありだな、、、,1,sample1@example.com,1,
31,6,sample6@example.com,Mac Studioで作業快適だけど、そろそろ良い椅子もほしい。,1,sample1@example.com,1,
38,2,sample2@example.com,Jabra Elite 85tアプリのフィッティングの時の音めちゃくちゃかっこいいからみんな聴いてほしい。,1,sample1@example.com,1,1
29,5,sample5@example.com,エンボディゲーミングチェアのせいで永遠にゲームができる。誰か助けてください。,1,sample1@example.com,1,
7,1,sample1@example.com,HHKBを大掃除。埃がすごい。ピカピカで気持ちいい。それでも消せないHHKB Studioへの興味。,1,sample1@example.com,,
14,2,sample2@example.com,Apple Watch Ultra2、バッテリー持ちが良すぎて最高。,1,sample1@example.com,1,
19,3,sample3@example.com,Galaxy Z Flip5ずっとパカパカしてられる,1,sample1@example.com,,
28,5,sample5@example.com,モンハン新作が待ち切れない。今のうちにデカイ4Kモニター新調すべきか？？？,1,sample1@example.com,1,
23,4,sample4@example.com,最近Alexaの感度が悪い、、、再起動しても変わらない。なぜ。,1,sample1@example.com,,
20,3,sample3@example.com,Snapdragon X Eliteヤバイ。Windowsの時代がくるぞ。,1,sample1@example.com,,
11,1,sample1@example.com,"次に買うMacBookのサイズは小さい方か大きい方か悩むな、、、
作業領域は確保したいけど、小さくてどこでも作業できる方が強いかな？？",1,sample1@example.com,,
39,8,sample8@example.com,近所のマックはWi-Fiも電源もある上に広いので朝活に最高だしモバイルアプリのクーポンでコーヒーMが130円はすごい。,1,sample1@example.com,1,1
15,2,sample2@example.com,自宅用にデスクトップMac検討中。どれがいいのかな。,1,sample1@example.com,,
18,2,sample2@example.com,3月のApple新製品発表イベント楽しみ　今回はiPad miniの新しいの来るか？？,1,sample1@example.com,1,
26,4,sample4@example.com,正直たまの充電くらいで事足りてるんだけど、SwitchBot カーテンにつけるソーラー充電器ってどうなんだろ。,1,sample1@example.com,,
40,8,sample8@example.com,iPad Air新型、12.9インチ来るのか？？？実際大きいのどうなんだろ。,1,sample1@example.com,,
27,5,sample5@example.com,そろそろ本格的な自作PCにも挑戦したい。ゲームで忙しいけど。,1,sample1@example.com,,
1,1,sample1@example.com,初売りでついにiPad購入！三種の神器が揃ってしまった。,1,sample1@example.com,,
