id,user_id,user_email,name
1,2,sample2@example.com,Appleファンの集い
2,2,sample2@example.com,時計はスマートウォッチ派
3,5,sample5@example.com,ガジェットを光らせたい
4,3,sample3@example.com,読書は紙派
5,7,sample7@example.com,読書は電子書籍派
6,1,sample1@example.com,音楽配信はSpotify派
7,7,sample7@example.com,音楽配信はAppleMusic派
8,1,sample1@example.com,HHKBこそ至高
9,1,sample1@example.com,自作キーボード興味あります
10,3,sample3@example.com,VR、ARが気になる
11,8,sample8@example.com,ぜんぶiPadでやりたい
12,2,sample2@example.com,最新ガジェットはとりあえず触りたい
13,1,sample1@example.com,作業画面はデカイほどイイ
14,1,sample1@example.com,充電器はAnkerで揃えたい
15,7,sample7@example.com,ワイヤレスしか使いたくない人
16,1,sample1@example.com,トラックボーラー
17,3,sample3@example.com,Android派
18,6,sample6@example.com,ミニマルな作業環境が好き
19,1,sample1@example.com,リモートワークしてます
20,8,sample8@example.com,カフェ作業が好き
